遇到逆竟时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。	遇到逆境时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。
我人生的方向已拟定好了，就如同在起跑点上的跑者，准备起步、加速、冲剌，然后到达巅锋，最后-抵达终点。让梦不再是梦，尽管过程是辛苦的，但我不会怕，也不后悔，因为这就是我的-方向。	我人生的方向已拟定好了，就如同在起跑点上的跑者，准备起步、加速、冲剌，然后到达巅峰，最后-抵达终点。让梦不再是梦，尽管过程是辛苦的，但我不会怕，也不后悔，因为这就是我的-方向。
而我的方向呢？就是希望成为一个篮球好手，或许现在对我来说还有点早，不但有课业问题，时间更是一个因素，但是只要我努力朝成功一步、一步的迈进，即使只有课余一点点的时间，我还是会不辞辛劳的努力去做。	而我的方向呢？就是希望成为一个篮球好手，或许现在对我来说还有点早，不但有课业问题，时间更是一个因素，但是只要我努力朝成功一步、一步的迈进，即使只有课余一点点的时间，我还是会不辞辛劳的努力去做。
我的人生方向是当运动员，要抓住的机会就是当我一有时间时，就应该多练习，这样到最后一定会有好成绩的，而到最后要上场比赛时，一定要全力以赴，假如比赛不认真的话，这样只会糟踏自己的人生。	我的人生方向是当运动员，要抓住的机会就是当我一有时间时，就应该多练习，这样到最后一定会有好成绩的，而到最后要上场比赛时，一定要全力以赴，假如比赛不认真的话，这样只会糟蹋自己的人生。
有许多人往往在选完方向后就不停的变换，导致在上了高中、大学后才悔不当出自己的选择。所以当我们选择方向时，一定要「慎重」，不然就会「后悔未及」了。	有许多人往往在选完方向后就不停的变换，导致在上了高中、大学后才悔不当初自己的选择。所以当我们选择方向时，一定要「慎重」，不然就会「后悔未及」了。
人生的方向是由你自己来决定的，而不是别人说什么，你才去做什么。方向就由如你的梦想、你的愿望，你的梦想就是你未来的方向，所以一但选择了，踏上这条路了，你就不能再回头了。	人生的方向是由你自己来决定的，而不是别人说什么，你才去做什么。方向就由如你的梦想、你的愿望，你的梦想就是你未来的方向，所以一旦选择了，踏上这条路了，你就不能再回头了。
在这个世界中有许许多多的人快成年的时候却都稿不清自己生命中的方向，而这些人往往就因为这样而浪费了自己宝贵的一生，我们才因该把握当下努力的去寻找自己人生中的目标，这样才不会白白的就浪费了我们宝贵的一生。	在这个世界中有许许多多的人快成年的时候却都搞不清自己生命中的方向，而这些人往往就因为这样而浪费了自己宝贵的一生，我们才应该把握当下努力的去寻找自己人生中的目标，这样才不会白白的就浪费了我们宝贵的一生。
每个人都有自己的想法，每个人都不一样，解决的方法、决定自己的方向都不一样。你控制的好，你的未来就好；你控制的不好，未来就会很痛苦。各种事情都是可以克服的，只是要看你要跟它走，还是要拒决它，方向就是你的。	每个人都有自己的想法，每个人都不一样，解决的方法、决定自己的方向都不一样。你控制的好，你的未来就好；你控制的不好，未来就会很痛苦。各种事情都是可以克服的，只是要看你要跟它走，还是要拒绝它，方向就是你的。
「方向」的定义很广泛，它可以单指学业，它也可以只局限于人生，对我来说，人生的方向比学业的要来的重要太多！有时候，人们可能会选择一个不适合自己的方向去努力，但那只是徒劳无工，挥霍生命。	「方向」的定义很广泛，它可以单指学业，它也可以只局限于人生，对我来说，人生的方向比学业的要来的重要太多！有时候，人们可能会选择一个不适合自己的方向去努力，但那只是徒劳无功，挥霍生命。
如果我的心是一艘船，那它一定在海上漂流，寻找著港口，但我手中已经握有一张模糊的地图，这张地图的踪向是专长，横向是兴趣，但是世界太大，而我还涉世未深，不过我了解，如果要拿下自己的目标，就必须先殿定基础。	如果我的心是一艘船，那它一定在海上漂流，寻找著港口，但我手中已经握有一张模糊的地图，这张地图的踪向是专长，横向是兴趣，但是世界太大，而我还涉世未深，不过我了解，如果要拿下自己的目标，就必须先奠定基础。
哥哥从小就励下志愿要当一个老师，哥哥每天一放学回家就是一直挑灯夜战，尽管考差了那么多张考卷，但他却没有放弃过，他那样的精神感动了我的心，俗话说的好：「皇天不负苦心人」，也让他如愿，考上了一所好大学。	哥哥从小就立下志愿要当一个老师，哥哥每天一放学回家就是一直挑灯夜战，尽管考差了那么多张考卷，但他却没有放弃过，他那样的精神感动了我的心，俗话说的好：「皇天不负苦心人」，也让他如愿，考上了一所好大学。
哥哥不但给我了目标，也给了我学习的榜样，他常告䜣我读书不能一直苦读，而是要去融会灌通，其实方向就是为人所设定目标。	哥哥不但给我了目标，也给了我学习的榜样，他常告诉我读书不能一直苦读，而是要去融会贯通，其实方向就是为人所设定目标。
我想人生最重要的指引应该就是方向了吧！不管是在开车时、写字时或者是随便一个动做都需要方向，但你可曾想过，人生也需要方向吗？	我想人生最重要的指引应该就是方向了吧！不管是在开车时、写字时或者是随便一个动作都需要方向，但你可曾想过，人生也需要方向吗？
就拿任何一个成功的人来说吧！麦可．乔丹先生，这位出色的职篮明星。他跟我们一样也是个平凡人，但是他在努力时，却超越了常人，因为有个方向让他不管遭受了多少措折都不放，而那个方向就是进入NBA。	就拿任何一个成功的人来说吧！麦可．乔丹先生，这位出色的职篮明星。他跟我们一样也是个平凡人，但是他在努力时，却超越了常人，因为有个方向让他不管遭受了多少挫折都不放，而那个方向就是进入NBA。
有一次，我看到了我其待了好久的电玩，但是我跟本没有多余的钱可以买，于是我决定把每个月拿到的钱都存了下来，我存了好久好久。终于，钱存够了，当我买下电玩的那种感觉，使我觉得我什么事情都做得到！	有一次，我看到了我期待了好久的电玩，但是我根本没有多余的钱可以买，于是我决定把每个月拿到的钱都存了下来，我存了好久好久。终于，钱存够了，当我买下电玩的那种感觉，使我觉得我什么事情都做得到！
全是界的人都是由自己来决定，可是如果方向是由别人来决定的话，就不是方向，就是都靠别人来帮你的方向，这样对他人也不太好，不过你想这样，你就去靠别人来帮你吧！	全世界的人都是由自己来决定，可是如果方向是由别人来决定的话，就不是方向，就是都靠别人来帮你的方向，这样对他人也不太好，不过你想这样，你就去靠别人来帮你吧！
就是靠自己，因为是靠自己的方向来感觉出最好的影导，不伦是自己的方向还是其他人的方向，就是由自己的方向是最好的，因为自己就是要靠自己，这样才是最好的自己哦！	就是靠自己，因为是靠自己的方向来感觉出最好的引导，不论是自己的方向还是其他人的方向，就是由自己的方向是最好的，因为自己就是要靠自己，这样才是最好的自己哦！
